team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
PIT,2024,PIT,PIT,Team Level,5on4,82,0.9,0.85,0.82,21482,359.41,52.29,33.84,76.61,12.23,197.75,104.27,48.05,52.29,48.05,333,144,147,624,52,69,8,69,0,140,147,281,425,8,18,209,13,19,79,302,96,79,8.32,11.82,32.15,8,11,33,624,477,477,9,8.83,16.98,16.78,44.35,44.35,42.5,75.55,6.13,4.06,12.26,2.58,25.39,54.58,6.02,6.13,6.02,79,26,8,113,4,7,0,8,0,10,76,75,101,2,4,159,49,27,35,80,20,5,2.38,2.54,1.21,2,2,0,113,105,105,31,0.93,0.48,0.48,6.58,6.58,6.55
EDM,2024,EDM,EDM,Team Level,other,82,0.58,0.52,0.54,10810,169.66,40.2,11.43,29.77,5.46,83.76,55.38,36.85,40.2,36.85,151,75,68,294,40,25,8,19,0,73,69,111,186,4,11,116,19,14,40,98,64,64,4.21,7.94,28.05,5,11,24,294,226,226,15,3.32,8.43,8.43,35.09,35.09,33.71,140.26,28.62,9.95,27.4,5.02,76.3,47.72,26.53,28.62,26.53,136,59,81,276,18,13,0,23,2,86,53,118,177,3,6,121,18,16,34,117,39,39,4.37,4.67,19.58,5,2,11,276,195,195,15,2.92,2.49,2.49,29.05,29.05,27.26
EDM,2024,EDM,EDM,Team Level,all,82,0.55,0.54,0.54,297524,2776.72,276.87,183.54,664.53,91.84,1472.04,1094.18,261.76,277.88,262.7,2623,1160,1401,5184,259,299,37,528,8,1185,1504,2364,3524,248,553,2272,1241,443,1215,2758,726,299,81.08,90.15,105.64,90,92,77,5207.26,3783,3803.14,515,40.54,64.87,64.87,252.54,253.49,246.41,2360.14,228.8,151.28,576.37,79.73,1264.6,926.23,218.46,229.35,218.96,2211,1016,1260,4487,235,232,36,454,8,998,1300,1976,2992,253,563,2191,1657,384,1255,2411,560,256,69.52,68.93,90.34,92,83,60,4482.48,3227,3229.44,592,33.41,51.95,51.95,210.26,210.24,204.53
EDM,2024,EDM,EDM,Team Level,5on5,82,0.55,0.54,0.54,247104,2244.84,189.29,142.1,560.09,74.45,1196.61,909.46,181.89,190.3,182.83,2113,959,1191,4263,168,228,22,456,8,953,1259,1945,2904,221,490,1800,1166,390,1081,2329,567,176,68.08,70.93,50.28,75,70,23,4286.26,3072,3092.14,466,29.41,46.43,46.78,171.92,172.88,170.1,1889.64,157.89,116.42,480.49,63.66,1011.23,755.32,152.18,158.45,152.69,1768,817,1034,3619,171,187,31,375,4,774,1074,1597,2414,235,521,1743,1584,328,1123,1974,449,162,56.36,55.56,45.97,79,65,27,3614.48,2585,2587.44,545,24.09,40.29,40.32,141.66,141.64,139.45
EDM,2024,EDM,EDM,Team Level,4on5,82,0.11,0.13,0.16,19353,51.4,4.46,2.33,7.6,1.61,16.41,36.59,4.41,4.46,4.41,54,15,9,78,4,4,1,1,0,15,45,50,65,9,21,157,45,21,33,48,17,4,1.22,2.15,1.08,2,1,1,78,69,69,25,0.53,0.81,0.59,4.4,4.4,4.38,274.65,37.4,22.44,60.42,9.28,159.88,84.59,34.93,37.4,34.93,253,121,141,515,42,29,5,53,2,129,119,211,332,7,17,179,24,17,68,266,58,50,7.3,6.77,23.32,6,14,22,515,374,374,11,5.81,8.45,8.42,34.79,34.79,33.1
EDM,2024,EDM,EDM,Team Level,5on4,82,0.9,0.88,0.85,20257,310.82,42.93,27.66,67.07,10.32,175.25,92.75,38.6,42.93,38.6,305,111,133,549,47,42,6,52,0,144,131,258,369,14,31,199,11,18,61,283,78,55,7.57,9.13,26.23,8,10,29,549,416,416,9,7.28,9.21,9.08,41.13,41.13,38.22,55.6,4.9,2.47,8.06,1.77,17.19,38.61,4.81,4.9,4.81,54,19,4,77,4,3,0,3,0,9,54,50,69,8,19,148,31,23,30,54,14,5,1.49,1.94,1.46,2,2,0,77,73,73,21,0.58,0.71,0.71,4.77,4.77,4.73
COL,2024,COL,COL,Team Level,other,82,0.51,0.53,0.55,12333,199.88,44.1,15.02,35.81,6.85,111.65,62.57,41.21,44.1,41.21,189,87,82,358,51,17,2,17,1,110,80,138,225,7,14,136,23,25,41,143,70,63,5.84,8.8,29.46,9,7,35,358,276,276,10,4.4,3.98,3.98,44.51,44.51,42.45,157.12,42.11,11.63,28.45,5.54,86.47,48.79,38.36,42.11,38.36,135,88,93,316,30,23,4,23,2,96,49,105,193,8,16,149,17,16,35,102,55,66,3.42,6.79,31.9,2,5,23,316,223,223,16,3.38,7.28,8.1,37.39,37.39,35.46
COL,2024,COL,COL,Team Level,all,82,0.53,0.54,0.54,298088,2668.05,259.53,176.51,651.61,90.08,1473.88,1049.38,247.71,260.64,248.78,2451,1250,1541,5242,273,250,32,468,7,1203,1500,2178,3428,234,508,2223,1549,416,1234,2761,665,275,81.1,81.76,96.66,108,79,86,5264.06,3701,3712.7,515,39.24,52.46,52.76,246,247.09,240.42,2325.69,231.75,155.84,570.77,78.41,1250.73,899.5,221.07,231.82,221.15,2126,1061,1319,4506,231,251,34,470,4,994,1237,1895,2956,264,561,2499,1633,383,1252,2321,606,260,62.49,76.34,92.91,79,75,77,4498.37,3187,3186.6,570,34.73,52.62,52.62,213.85,214.04,209.36
COL,2024,COL,COL,Team Level,5on5,82,0.53,0.54,0.54,244320,2117.01,170.91,132.32,546.32,71.62,1164.7,854.11,165.62,172.02,166.7,1926,1014,1302,4242,165,193,24,396,5,951,1230,1761,2775,208,453,1755,1468,362,1092,2275,509,156,65.13,62.65,43.14,81,57,27,4264.06,2940,2951.7,464,27.37,38.75,38.81,159.48,160.56,158.17,1831.64,151.44,115.98,471,61.46,983.06,728.08,145.95,151.5,146.01,1668,843,1085,3596,155,189,29,394,2,743,1028,1513,2356,236,503,1984,1556,326,1125,1900,467,144,50.59,59.39,41.45,66,56,33,3588.36,2511,2510.6,527,24.01,38.64,38.35,137.1,137.28,135.49
COL,2024,COL,COL,Team Level,4on5,82,0.1,0.14,0.16,19687,54.69,3.71,2.35,8.19,1.74,17.23,39.78,3.69,3.71,3.69,60,13,10,83,5,2,0,2,0,12,52,55,68,8,16,150,41,19,36,58,12,3,1.71,1.35,0.66,4,1,0,83,73,73,31,0.55,0.33,0.33,3.93,3.93,3.92,283.32,33.44,25.75,63.17,9.69,164.94,86.02,32.14,33.44,32.14,270,113,129,512,39,33,0,49,0,151,111,231,344,12,26,191,23,14,61,272,66,45,7.28,8.06,18.1,9,11,19,512,383,383,2,6.76,5.42,4.89,35.32,35.32,34.37
COL,2024,COL,COL,Team Level,5on4,82,0.9,0.87,0.85,21748,296.48,40.81,26.82,61.3,9.86,180.29,92.91,37.19,40.81,37.19,276,136,147,559,52,38,6,53,1,130,138,224,360,11,25,182,17,10,65,285,74,53,8.43,8.97,23.41,14,14,24,559,412,412,10,6.91,9.39,9.64,38.08,38.08,35.88,53.61,4.76,2.49,8.14,1.72,16.26,36.62,4.62,4.76,4.62,53,17,12,82,7,6,1,4,0,4,49,46,63,8,16,175,37,27,31,47,18,5,1.19,2.11,1.45,2,3,2,82,70,70,25,0.58,1.29,1.29,4.05,4.05,4.03
WSH,2024,WSH,WSH,Team Level,other,82,0.56,0.47,0.48,11046,149.82,41.98,9.01,26.78,4.94,73.39,52.89,39.24,41.98,39.24,133,76,71,280,42,7,0,24,1,76,59,91,167,6,23,127,35,13,25,122,27,60,4.77,3.68,33.53,5,3,34,280,209,209,7,2.57,1.73,1.73,42.83,42.83,40.04,166.07,32.32,12.04,31.01,5.71,95.11,50.81,28.93,32.32,28.93,140,87,88,315,25,14,1,35,2,86,65,115,202,4,13,142,23,18,30,125,62,40,5.09,7.83,19.4,4,4,17,315,227,227,8,3.53,5.08,5.2,30.65,30.65,27.85
WSH,2024,WSH,WSH,Team Level,all,82,0.52,0.5,0.51,298534,2566.19,274.21,167.8,622.85,87.07,1368.66,1015.39,261.01,276.03,262.82,2268,1268,1348,4884,286,255,31,475,3,1054,1463,1982,3250,296,671,2308,1580,362,1211,2535,679,322,73.73,86.29,114.2,103,83,100,4930.33,3536,3568.24,560,37.14,53.95,54.02,257.34,259.15,251.62,2525.94,250.38,166.37,606.77,85.76,1355.26,986.46,236.53,250.36,236.58,2231,1220,1458,4909,229,252,27,478,9,1097,1386,2002,3222,281,642,2291,1612,355,1192,2503,663,285,71.54,83.22,95.62,75,82,72,4889.07,3451,3443.75,564,37.18,55.8,55.8,231.75,231.88,224.48
WSH,2024,WSH,WSH,Team Level,5on5,82,0.52,0.51,0.51,244800,2036.11,184.2,128.16,516.91,69.35,1095.67,821.7,176.87,186.02,178.68,1786,1030,1127,3943,190,200,28,390,0,829,1207,1596,2626,261,588,1791,1454,307,1079,2086,536,194,60.61,68.46,55.13,84,64,42,3989.33,2816,2848.24,516,26.64,42.43,42.43,168.42,170.24,167.3,1955.11,170.84,122.73,490.01,66.37,1038.29,783.74,163.7,170.82,163.73,1720,952,1187,3859,160,191,19,366,5,841,1109,1560,2512,246,559,1752,1528,307,1053,1993,493,186,55.82,62.52,52.5,66,62,32,3839.07,2672,2664.75,512,25.44,40.74,40.62,155.66,155.79,153.23
WSH,2024,WSH,WSH,Team Level,4on5,82,0.13,0.13,0.15,22191,63.3,6.09,3.14,9.7,2.1,19.93,43.02,5.97,6.09,5.97,65,19,11,95,8,3,0,2,1,15,55,57,76,6,15,184,49,26,37,58,21,5,1.58,2.73,1.77,4,3,1,95,84,84,31,0.72,1.01,1.09,5.72,5.72,5.66,341.65,41.19,28.77,76.47,11.78,202.24,108.54,37.94,41.19,37.94,302,167,173,642,38,43,6,72,2,156,158,264,431,17,37,225,20,11,75,327,89,53,9.03,10.27,21.9,5,12,21,642,469,469,14,7.56,9.2,9.2,39.55,39.55,37.54
WSH,2024,WSH,WSH,Team Level,5on4,82,0.87,0.86,0.84,20497,316.95,41.93,27.49,69.46,10.68,179.67,97.77,38.94,41.93,38.94,284,143,139,566,46,45,3,59,1,134,142,238,381,23,45,206,42,16,70,269,95,63,6.76,11.41,23.75,10,13,23,566,427,427,6,7.21,8.77,8.77,40.37,40.37,38.61,63.11,6.02,2.83,9.27,1.9,19.61,43.37,5.96,6.02,5.96,69,14,10,93,6,4,1,5,0,14,54,63,77,14,33,172,41,19,34,58,19,6,1.59,2.61,1.82,0,4,2,93,83,83,30,0.64,0.78,0.78,5.88,5.88,5.86
VAN,2024,VAN,VAN,Team Level,other,82,0.52,0.52,0.52,11302,160.99,36.61,10.37,29.45,5.6,83.64,58.33,33.64,36.61,33.64,138,86,69,293,30,20,5,16,1,76,81,108,194,3,6,125,36,8,37,117,47,60,4.5,5.53,26.58,6,5,19,293,224,224,15,3.01,7.17,7.29,32.32,32.32,30.32,150.41,34.39,10.17,28.18,5.01,77.09,52.22,32.76,34.39,32.76,140,68,67,275,48,15,5,13,1,63,68,92,160,9,16,100,29,14,39,111,44,53,4.29,5.16,24.94,9,10,29,275,208,208,18,2.91,5.22,5.22,32.01,32.01,30.92
VAN,2024,VAN,VAN,Team Level,all,82,0.49,0.49,0.49,300021,2346.42,230.65,155.85,565.59,79.53,1289.15,949.25,219.16,231.29,219.79,2096,1174,1325,4595,233,235,37,431,7,1101,1263,1863,3037,293,661,2208,2213,356,1097,2482,503,285,66.89,62.99,100.76,91,67,75,4609.01,3270,3281.36,525,34.6,55.39,55.39,209.87,210.43,204.57,2470.21,237.81,163.87,600.85,83.78,1345.88,985.87,227.37,238.5,228.04,2196,1223,1306,4725,251,244,38,454,3,1144,1323,1945,3168,291,663,2311,1682,346,1235,2553,596,270,69.43,75.23,93.16,103,72,76,4728.24,3419,3422.86,558,36.27,53.62,53.96,220.06,220.52,215.08
VAN,2024,VAN,VAN,Team Level,5on5,82,0.49,0.49,0.49,244749,1821.36,147.88,115.06,459.13,61.21,1003.65,749.06,141.53,148.53,142.16,1622,914,1099,3635,152,171,25,359,5,848,1001,1470,2384,273,621,1726,2065,317,962,1994,375,167,53.21,47.63,47.03,75,48,29,3649.01,2536,2547.36,479,23.72,37.38,37.26,134.35,134.91,132.52,1935.1,154.34,120.72,494.18,65.38,1060.66,792.72,148.37,155.03,149.04,1693,995,1083,3771,162,181,26,373,2,916,1054,1531,2526,266,615,1800,1590,300,1053,2103,433,152,55.32,55.5,43.52,88,49,25,3774.23,2688,2691.86,485,24.99,37.86,38.2,141.14,141.58,139.01
VAN,2024,VAN,VAN,Team Level,4on5,82,0.09,0.14,0.16,22594,61.03,4.19,2.63,9.16,1.94,19.59,45.5,4.15,4.19,4.15,62,21,12,95,4,3,0,2,1,19,54,58,79,7,14,176,84,18,33,68,13,2,1.91,1.83,0.46,1,2,1,95,83,83,23,0.6,0.21,0.21,4.58,4.58,4.54,327.89,44.03,29.83,69.97,11.44,188.5,100.23,41.21,44.03,41.21,301,143,145,589,35,44,7,63,0,157,145,266,409,10,20,223,17,21,96,281,105,58,8.1,12.87,23.05,5,9,21,589,444,444,16,7.65,10.18,10.18,41.5,41.5,39.76
VAN,2024,VAN,VAN,Team Level,5on4,82,0.89,0.86,0.84,21376,303.05,41.98,27.79,67.84,10.77,182.27,96.35,39.85,41.98,39.85,274,153,145,572,47,41,7,54,0,158,127,227,380,10,20,181,28,13,65,303,68,56,7.29,8,26.7,9,12,26,572,427,427,8,7.28,10.63,10.63,38.62,38.62,37.2,56.81,5.06,3.15,8.51,1.96,19.62,40.7,5.02,5.06,5.02,62,17,11,90,6,4,0,5,0,8,56,56,73,6,12,188,46,11,47,58,14,7,1.72,1.69,1.65,1,4,1,90,79,79,39,0.71,0.35,0.35,5.42,5.42,5.4
CAR,2024,CAR,CAR,Team Level,other,82,0.53,0.52,0.54,10823,150.22,37.56,9.86,26.4,5.04,82.08,50.06,33.73,37.56,33.73,140,71,72,283,35,12,3,20,2,77,65,105,176,6,15,120,23,18,38,101,55,55,4.31,6.38,26.86,2,6,27,283,211,211,19,2.93,4.05,4.05,36.44,36.44,33.96,129.01,33.05,9.62,23.62,4.64,70.54,36.53,31.46,33.05,31.46,115,63,81,259,26,13,1,16,1,71,51,89,152,7,17,119,18,9,28,87,37,54,3.44,4.6,25,4,0,22,259,178,178,12,2.89,3.52,3.52,32.41,32.41,31.13
CAR,2024,CAR,CAR,Team Level,all,82,0.55,0.59,0.58,297020,3006.91,293.06,197.35,740.64,101.27,1623.81,1169.88,277.54,294.71,279.14,2599,1527,1634,5760,266,317,29,545,11,1417,1570,2333,3860,273,590,2574,1415,452,1329,2998,814,314,85.43,101.22,106.41,89,103,74,5806.33,4126,4155.22,563,43.73,59.31,59.44,277.35,278.89,269.54,2245.65,236.84,154.37,531.91,75.85,1189.28,858.76,225.36,236.82,225.34,2045,1002,1035,4082,230,258,28,384,9,900,1266,1815,2817,270,586,2309,1915,408,1349,2123,632,292,61.48,77.66,97.7,82,76,72,4069.92,3047,3045.03,653,34.56,55.89,55.89,215.52,215.64,210.48
CAR,2024,CAR,CAR,Team Level,5on5,82,0.56,0.59,0.58,239758,2385.52,201.45,149.53,617.26,81.04,1283.16,946.54,193.89,203.09,195.48,2019,1260,1388,4667,176,263,22,444,8,1107,1281,1843,3103,234,498,2031,1327,386,1163,2453,632,194,68.88,78.94,53.63,75,74,27,4713.33,3279,3308.22,500,31.12,47.2,47.33,185.24,186.77,183.34,1760.52,161.18,114.96,432.49,59.29,928.85,692.24,154.33,161.16,154.31,1604,785,835,3224,167,189,22,310,8,684,1031,1437,2222,243,526,1769,1787,360,1199,1720,485,184,49.73,60.09,51.36,71,64,32,3211.92,2389,2387.03,601,23.94,41.35,41.35,143.76,143.89,141.44
CAR,2024,CAR,CAR,Team Level,4on5,82,0.17,0.17,0.19,23063,73.9,7.49,3.66,10.75,2.28,22.84,48.99,7.33,7.49,7.33,75,21,10,106,10,5,0,4,0,21,56,65,86,12,32,178,45,24,44,62,25,9,1.81,3.45,2.23,3,7,0,106,96,96,33,0.84,1.01,1.01,7.31,7.31,7.28,297.1,36.23,26.94,67.03,10.14,171.55,90.12,33.39,36.23,33.39,263,139,102,504,32,51,3,53,0,136,130,231,370,9,18,228,44,18,80,264,93,45,6.96,10.86,18.41,6,10,16,504,402,402,8,7.09,9.41,9.41,33.9,33.9,32.5
CAR,2024,CAR,CAR,Team Level,5on4,82,0.88,0.88,0.87,23376,397.26,46.57,34.29,86.22,12.91,235.73,124.28,42.59,46.57,42.59,365,175,164,704,45,37,4,77,1,212,168,320,495,21,45,245,20,24,84,382,102,56,10.43,12.45,23.69,9,16,20,704,540,540,11,8.84,7.05,7.05,48.37,48.37,44.97,59.02,6.4,2.84,8.76,1.79,18.34,39.87,6.18,6.4,6.18,63,15,17,95,5,5,2,5,0,9,54,58,73,11,25,193,66,21,42,52,17,9,1.36,2.11,2.93,1,2,2,95,78,78,32,0.66,1.61,1.61,5.45,5.45,5.41
WPG,2024,WPG,WPG,Team Level,other,82,0.48,0.49,0.52,9678,133.95,29.83,9.12,24.44,4.53,75.43,45.73,28.63,29.83,28.63,128,62,60,250,46,8,3,17,1,62,56,82,144,2,4,114,30,10,25,112,38,40,4.15,4.7,20.99,10,9,27,250,190,190,18,2.71,2.5,1.83,30.65,30.65,29.62,128.6,31.94,9.13,23.06,4.28,67.57,42.02,29.64,31.94,29.64,116,62,79,257,29,17,2,17,1,66,48,87,149,3,6,105,31,12,22,96,32,50,3.77,4.02,24.14,3,3,23,257,178,178,9,2.63,4.99,4.99,29.57,29.57,27.94
WPG,2024,WPG,WPG,Team Level,all,82,0.53,0.5,0.51,297595,2562.68,257.74,171.27,623.01,86.52,1389.55,1010.97,245.9,260.74,248.78,2316,1224,1250,4790,275,271,39,518,6,1097,1373,2041,3265,227,503,2206,1700,415,1147,2559,680,301,70.24,83.67,103.84,91,90,94,4867.29,3540,3589.7,549,37.93,57.44,57.51,238.11,240.82,234.75,2494.24,230.89,166.12,622.11,85.37,1366.18,991.33,220.4,229.91,219.41,2229,1233,1378,4840,190,253,23,499,6,1197,1317,2039,3272,249,537,2266,2007,396,1209,2642,570,250,72.79,71.42,86.67,73,51,66,4775.98,3462,3431.32,570,36.7,48.63,48.63,218.96,217.88,212.46
WPG,2024,WPG,WPG,Team Level,5on5,82,0.53,0.5,0.51,249415,2085.52,176.84,132.59,530.86,70.58,1128.21,847.9,169.62,179.84,172.49,1860,1027,1072,3959,170,222,28,448,5,889,1153,1690,2717,211,471,1773,1618,364,1031,2164,534,189,58.25,65.43,53.16,72,67,31,4036.29,2887,2936.7,498,27.58,44.74,44.8,159.61,162.33,159.19,2013.85,157.44,127.76,523.53,69.11,1109.51,819.68,151.74,156.45,150.74,1794,1013,1133,3940,119,192,20,434,5,973,1084,1675,2688,221,481,1809,1898,352,1096,2211,453,143,61.08,56.86,39.49,61,35,23,3875.98,2807,2776.32,530,26.43,36.89,36.89,146.99,145.89,143.46
WPG,2024,WPG,WPG,Team Level,4on5,82,0.1,0.1,0.12,19300,41.54,3.95,2.14,5.94,1.37,13.4,28.21,3.88,3.95,3.88,41,14,7,62,1,1,0,3,0,11,39,40,54,6,12,148,39,24,33,36,14,5,0.86,1.85,1.25,0,1,0,62,55,55,26,0.49,0.15,0.15,4.29,4.29,4.24,297.27,37.13,26.64,66.81,10.19,171.84,91.39,34.8,37.13,34.8,259,145,155,559,38,39,0,43,0,149,135,221,366,15,30,196,22,11,56,279,73,52,6.45,8.94,21.75,7,12,19,559,404,404,2,7.03,5.96,5.96,38.21,38.21,36.97
WPG,2024,WPG,WPG,Team Level,5on4,82,0.91,0.86,0.85,19202,301.67,47.11,27.43,61.77,10.04,172.52,89.14,43.77,47.11,43.77,287,121,111,519,58,40,8,50,0,135,125,229,350,8,16,171,13,17,58,247,94,67,6.98,11.68,28.45,9,13,36,519,408,408,7,7.16,10.06,10.72,43.55,43.55,41.71,54.52,4.39,2.59,8.71,1.8,17.27,38.24,4.22,4.39,4.22,60,13,11,84,4,5,1,5,0,9,50,56,69,10,20,156,56,21,35,56,12,5,1.49,1.6,1.3,2,1,1,84,73,73,29,0.6,0.78,0.78,4.21,4.21,4.08
NSH,2024,NSH,NSH,Team Level,other,82,0.58,0.6,0.59,12490,197.1,52.29,13.9,33.96,6.87,106.31,60.67,45.55,52.29,45.55,174,100,117,391,32,27,3,41,4,86,84,142,242,10,23,157,28,16,37,115,78,81,4.94,9.67,37.68,4,8,20,391,274,274,20,4.25,9.89,10.27,46.26,46.26,42.36,138.24,37.39,9.17,23.95,4.63,69.66,48.19,35.27,37.39,35.27,125,68,64,257,43,8,1,20,2,58,62,82,150,9,21,136,35,15,46,86,50,57,3.41,6.14,27.84,6,6,31,257,193,193,21,2.72,2.14,1.48,38.63,38.63,36.73
NSH,2024,NSH,NSH,Team Level,all,82,0.51,0.52,0.51,297303,2587.49,264.11,175.89,615.31,87.2,1413.75,1006.75,248.79,263.44,248.16,2403,1160,1441,5004,212,267,25,541,9,1117,1417,2191,3351,302,728,2403,1933,392,1252,2572,698,293,73.62,86.91,103.58,66,83,63,4962.73,3563,3544.74,557,39.39,58.32,58.32,245.18,244.62,236.34,2498.31,256.3,169.68,597.08,82.89,1338.2,975.87,243.79,257.77,245.26,2344,1076,1254,4674,274,236,20,457,4,1029,1420,2070,3146,290,713,2284,1723,438,1304,2453,686,281,74.09,83.67,98.54,116,81,77,4716.93,3420,3446.93,614,37.79,48.64,48.64,245.45,247.01,239.68
NSH,2024,NSH,NSH,Team Level,5on5,82,0.5,0.51,0.5,240809,1984.42,166.91,129.88,497.97,67.05,1082.48,793.71,161.1,166.25,160.47,1833,905,1152,3890,130,192,18,428,4,846,1138,1703,2608,257,629,1853,1825,336,1110,2065,518,155,58.76,64.93,43.23,54,56,20,3848.74,2738,2719.74,503,26.94,37.88,37.55,156.3,155.74,153.23,2004.58,169.15,129.81,501.65,66.98,1079.66,803.76,162.76,170.62,164.24,1876,875,1047,3798,190,196,16,372,1,820,1172,1686,2561,256,634,1784,1616,387,1141,2073,519,159,61.73,63.58,43.84,105,60,25,3840.93,2751,2777.93,547,26.99,36.79,37.46,158.69,160.25,157.42
NSH,2024,NSH,NSH,Team Level,4on5,82,0.1,0.14,0.16,23253,58.43,4.84,2.51,8.51,1.7,18.34,42.09,4.72,4.84,4.72,60,18,7,85,1,3,0,9,1,8,56,59,77,13,29,199,57,27,36,61,10,7,1.76,1.32,1.76,1,0,0,85,78,78,28,0.58,0.71,0.71,4.72,4.72,4.61,305.22,45.46,28.05,63.67,9.68,171.91,89.24,41.49,45.46,41.49,284,124,131,539,37,32,3,63,1,140,135,247,371,17,37,189,24,24,79,247,98,63,7.49,11.61,26.36,5,11,21,539,408,408,16,7.48,9.7,9.7,43.25,43.25,40.66
NSH,2024,NSH,NSH,Team Level,5on4,82,0.9,0.89,0.87,20751,347.55,40.06,29.59,74.87,11.57,206.62,110.29,37.41,40.06,37.41,336,137,165,638,49,45,4,63,0,177,139,287,424,22,47,194,23,13,69,331,92,50,8.16,10.99,20.92,7,19,23,638,473,473,6,7.63,9.85,9.79,37.9,37.9,36.14,50.27,4.29,2.66,7.8,1.62,16.97,34.66,4.27,4.29,4.27,59,9,12,80,4,0,0,2,0,11,51,55,64,8,21,175,48,12,38,47,19,2,1.44,2.35,0.5,0,4,0,80,68,68,30,0.61,0,0,4.89,4.89,4.87
STL,2024,STL,STL,Team Level,other,82,0.5,0.52,0.49,10845,128.19,28.68,9.11,23.54,4.25,68.54,42.94,26.58,28.68,26.58,122,56,93,271,33,15,8,14,3,60,53,89,145,2,4,146,30,14,32,93,42,43,3.91,5.27,19.5,9,7,17,271,178,178,12,2.62,5.37,5.37,25.87,25.87,24.54,134.1,28.27,9.23,22.42,4.39,73.83,46.87,25.52,28.27,25.52,119,66,61,246,32,10,3,17,1,60,65,87,153,4,8,106,32,19,28,89,56,40,3.68,6.53,18.06,6,11,15,246,185,185,9,2.65,4.39,4.39,26.52,26.52,25.33
STL,2024,STL,STL,Team Level,all,82,0.49,0.49,0.49,298883,2314.46,222.26,153.26,557.15,76.01,1259.23,908.22,213.8,223.62,215.09,2186,992,1323,4501,250,204,36,458,6,937,1323,1936,2928,248,573,2329,2003,367,1293,2370,560,248,68.9,69.56,83.8,100,77,73,4522.12,3178,3188.42,593,33.79,44.72,44.72,211.2,212.38,207.92,2429.08,231.25,160.45,589.87,81.97,1323.63,963.84,218.36,231.77,218.85,2236,1115,1392,4743,231,239,24,517,3,1049,1312,2005,3120,250,582,2188,1699,400,1209,2490,599,262,69.39,73.28,88.57,81,84,66,4731.04,3351,3359.15,557,35.47,49.29,49.29,217.43,217.96,211.92
STL,2024,STL,STL,Team Level,5on5,82,0.5,0.48,0.49,251379,1870.68,156.09,118.36,468.45,61.13,1014.63,749.41,151.57,157.45,152.86,1775,794,1100,3669,175,155,23,388,1,745,1105,1600,2394,235,544,1843,1915,328,1184,1963,446,160,56.16,55.94,43.98,85,60,30,3690.12,2569,2579.42,555,24.46,32.98,33.23,147.26,148.44,146.6,1955.26,158.88,123.16,496.98,66.03,1062.56,791.38,153.22,159.41,153.7,1790,909,1202,3901,147,189,16,442,2,837,1082,1643,2552,232,541,1770,1600,345,1111,2079,454,166,57.01,56.1,45.77,63,61,23,3889.04,2699,2707.15,528,25.59,36.52,36.53,147.94,148.47,146.08
